Profile Summary
Generated on: 2023-09-25 23:20:50
Msec since Epoch: 1695655250563
Profiled application: kernel_proj
Target platform: Xilinx
Tool version: 2021.1
XRT build version: 2.12.427
Build version branch: 2021.2
Build version hash: 2719b6027e185000fc49783171631db03fc0ef79
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_201920_3-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,4,0.168376,0.017623,0.042094,0.087695,
clCreateCommandQueue,1,0.008295,0.008295,0.008295,0.008295,
clCreateContext,1,5.72408,5.72408,5.72408,5.72408,
clCreateKernel,1,1.4869,1.4869,1.4869,1.4869,
clCreateProgramWithBinary,1,4643.07,4643.07,4643.07,4643.07,
clEnqueueMapBuffer,4,6.0095,0.023093,1.50237,5.9182,
clEnqueueMigrateMemObjects,2,0.016962,0.004188,0.008481,0.012774,
clEnqueueTask,1,0.043391,0.043391,0.043391,0.043391,
clEnqueueUnmapMemObject,2,0.017974,0.001893,0.008987,0.016081,
clFinish,2,30.0082,0.096591,15.0041,29.9116,
clGetDeviceIDs,2,0.003116,0.000511,0.001558,0.002605,
clGetDeviceInfo,2,34.3175,0.001522,17.1588,34.316,
clGetPlatformIDs,2,0.010139,0.000631,0.0050695,0.009508,
clGetPlatformInfo,2,0.002585,0.000501,0.0012925,0.002084,
clReleaseCommandQueue,1,0.002865,0.002865,0.002865,0.002865,
clReleaseContext,1,12.3255,12.3255,12.3255,12.3255,
clReleaseDevice,4,0.004839,0.000311,0.00120975,0.002715,
clReleaseKernel,1,0.101832,0.101832,0.101832,0.101832,
clReleaseMemObject,12,0.007423,0.000251,0.000618583,0.001934,
clReleaseProgram,1,2.73306,2.73306,2.73306,2.73306,
clRetainDevice,4,0.009968,0.00031,0.002492,0.008536,
clRetainMemObject,8,0.004861,0.00025,0.000607625,0.001904,
clSetKernelArg,14,0.020117,0.00026,0.00143693,0.008826,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
kernel_proj,1,29.6826,29.6826,29.6826,29.6826,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
25700432,kernel_proj,0,0,xilinx_u50_gen3x16_xdma_201920_3-0,4839.12,29.6826,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,4838.98,0.109646,77.664,8.51555,
0,0,0,4882.4,0.059191,75.264,4.45495,
77824,0,0,4882.48,0.000851,75.264,0.0640497,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
77824,0,0,4868.87,0.077907,75.264,5.86359,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,966.075,10.0633,75.264,0.077907,0.077907,
context0:1,WRITE,3,1344.77,14.0081,76.064,0.169688,0.0565627,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
TRACE_BUFFER_FULL,xilinx_u50_gen3x16_xdma_201920_3-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u50_gen3x16_xdma_201920_3-0|PLRAM,512,
APPLICATION_RUN_TIME_MS,all,4927.31,
XRT_INI_SETTING,profile,0,Profiling (deprecated)
XRT_INI_SETTING,opencl_summary,1,Generation of OpenCL summary report
XRT_INI_SETTING,opencl_device_counter,0,Hardware counters added to OpenCL summary file
XRT_INI_SETTING,timeline_trace,0,Timeline trace (deprecated)
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,xrt_profile,0,Equivalent to xrt_trace (deprecated)
XRT_INI_SETTING,data_transfer_trace,coarse,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,continuous_trace_interval_ms,10,Interval for offloading trace (in ms; deprecated)
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_trace_buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,aie_trace_metrics,functions,Configuration level used for AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_profile_interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,aie_profile_core_metrics,heat_map,Metric set for AI Engine core modules
XRT_INI_SETTING,aie_profile_memory_metrics,conflicts,Metric set for AI Engine memory modules
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
